"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A5929",NA,NA,NA,"DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3658",85,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3659",85,NA,"M","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"PORODERMA AFRICANUM","Pyjama catshark","21 FEBRUARY 2013","A121519",88.5,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2013","D136020",57.5,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3663 (2)",86.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3654",86,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A5933",85,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","22 FEBRUARY 2013","A3660",85,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","22","02","2013"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2965",143,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2974",NA,120,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2975",189,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2976",277,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4930",86,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2978",143,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2979",231,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2980",200,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2981",166,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2966",168,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2967",129,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2968",151,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A3223",87.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"MUSTELUS MUSTELUS","Smooth houndshark","01 MARCH 2011","A2970",155,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2971",170,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2972",NA,153,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","01 MARCH 2011","A2973",231,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3663(1)",84.5,74,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5813",86,74,"M","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2014","A121525",59.5,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5809",88,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5812",88,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5807",84.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5816",78.5,NA,"M","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5814",81,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5815",74.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","21 FEBRUARY 2013","A3655",94,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","21","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5805",86,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5824",98,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5802",84,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5801",82,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5818",85,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5806",89,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"CARCHARHINUS BRACHYURUS","Bronze whaler","11 JANUARY 2014","A5935 (2)",NA,131,"F","BIRD SANCTUARY","False Bay",-34.074067,18.680121,"LINEFISHING","11","01","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 JANUARY 2011","A2982",176,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","01","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4946",84,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2992",172,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2993",221,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2994",176,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4939",75,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4937",88,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","07 DECEMBER 2011","A2997",80,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","07","12","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2998",163,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","20 JANUARY 2014","finclip only",66,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","20","01","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2984",169,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2985",215,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2986",182,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2987",162,NA,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","20 JANUARY 2014","finclip only",63.8,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","20","01","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A2989",174,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"GALEORHINUS GALEUS","Soupfin shark","01 MARCH 2011","A2990",158,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","01","03","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5803",87,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A3214",81,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A3226",90,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5811",85,NA,"M","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","06 MARCH 2013","A3205",55,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","06","03","2013"
"PORODERMA PANTHERINUM","Leopard catshark","28 AUGUST 2013","finclip only",59.5,NA,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","28 AUGUST 2013","finclip only",50,NA,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","28 AUGUST 2013","finclip only",54,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","28 AUGUST 2013","finclip only",60,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A3237",91,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2014","D136029",56,NA,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5810",89,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5948",86,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5808",98,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5804",87,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"PORODERMA AFRICANUM","Pyjama catshark","21 FEBRUARY 2014","A4840",82,NA,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5828",98,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","07 FEBRUARY 2013","A5924 (?)",90.2,NA,"M","KABELJOUS","Jeffrey's Bay",-34.0141,24.93195,"LINEFISHING","07","02","2013"
"DASYATIS CHRYSONOTA","Blue stingray","07 DECEMBER 2011","A2937",30,NA,"NO SEX","OPPOSITE ST. CROIX ISLAND","Algoa Bay",-33.799881,25.757088,"LINEFISHING","07","12","2011"
"DASYATIS CHRYSONOTA","Blue stingray","07 FEBRUARY 2013","A5838",40,NA,"F","KABELJOUS","Jeffrey's Bay",-34.0141,24.93195,"LINEFISHING","07","02","2013"
"CARCHARIAS TAURUS","Ragged-tooth shark","11 FEBRUARY 2014","A5877",192,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","11","02","2014"
"PORODERMA AFRICANUM","Pyjama catshark","14 FEBRUARY 2014","A4848",93,NA,"F","DIE DAM","Agulhas",-34.768677,19.686647,"LINEFISHING","14","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4936",80,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"MUSTELUS MUSTELUS","Smooth houndshark","13 FEBRUARY 2014","A4874",105,NA,"F","DIE MOND","Struisbaai",-34.716851,20.118269,"LINEFISHING","13","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4932",77,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4922 (1)",90.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A3000",NA,170,"M","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"CARCHARHINUS BRACHYURUS","Bronze whaler","28 FEBRUARY 2011","A3649",173,NA,"F","STRANDFONTEIN","False Bay",-34.087406,18.581635,"LINEFISHING","28","02","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4945",88,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4897",87,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","16 APRIL 2011","A1718",NA,149,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","16","04","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4943",82,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","03 JUNE 2011","A1650",56,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","03","06","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","20 FEBRUARY 2013","A5928",92,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","20","02","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","28 AUGUST 2013","finclip only",57.5,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"PORODERMA PANTHERINUM","Leopard catshark","21 FEBRUARY 2014","A121527",49,NA,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","21","02","2014"
"PORODERMA AFRICANUM","Pyjama catshark","21 FEBRUARY 2014","finclip only",92,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","21","02","2014"
"CARCHARHINUS BRACHYURUS","Bronze whaler","06 MARCH 2013","A5872",104,NA,"F","DIE MOND","Struisbaai",-34.716851,20.118269,"LINEFISHING","06","03","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","06 APRIL 2013","A2913",NA,128,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","06","04","2013"
"SPHYRNA ZYGAENA","Smooth hammerhead shark","06 MARCH 2013","A5860",140,NA,"F","DIE MOND","Struisbaai",-34.716851,20.118269,"LINEFISHING","06","03","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","06 APRIL 2013","A3680",NA,144,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","06","04","2013"
"SPHYRNA ZYGAENA","Smooth hammerhead shark","06 MARCH 2013","A5867",137,NA,"F","DIE MOND","Struisbaai",-34.716851,20.118269,"LINEFISHING","06","03","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 APRIL 2013","DISSECTED",214,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","28 AUGUST 2013","finclip only",55.3,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","28 AUGUST 2013","finclip only",59,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","28 AUGUST 2013","finclip only",51,NA,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","28 AUGUST 2013","finclip only",59,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","28 AUGUST 2013","finclip only",57,NA,"F","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","28","08","2013"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","07 MARCH 2013","A5874",75,NA,"M","DIE MOND","Struisbaai",-34.716851,20.118269,"LINEFISHING","07","03","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","06 APRIL 2013","A5870",NA,181,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","06","04","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","06 APRIL 2013","A5880",NA,134,"M","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","06","04","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","10 FEBRUARY 2014","A4899",86.5,NA,"F","DIE PLAAT","Struisbaai",-34.746433,20.068497,"LINEFISHING","10","02","2014"
"PORODERMA AFRICANUM","Pyjama catshark","10 APRIL 2013","DISSECTED",88,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"MUSTELUS MUSTELUS","Smooth houndshark","19 JULY 2013","finclip only",56,NA,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","19","07","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 AUGUST 2013","A5940",NA,110,"M","DIE EILAND","Betty's Bay",-34.374456,18.887722,"LINEFISHING","10","08","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 AUGUST 2013","A5947",NA,122,"M","JOCK SE BAAI","Betty's Bay",-34.361997,18.971145,"LINEFISHING","10","08","2013"
"GALEORHINUS GALEUS","Soupfin shark","10 AUGUST 2013","A5934",NA,119,"M","JOCK SE BAAI","Betty's Bay",-34.361997,18.971145,"LINEFISHING","10","08","2013"
"GALEORHINUS GALEUS","Soupfin shark","10 AUGUST 2013","A3220",NA,116,"M","JOCK SE BAAI","Betty's Bay",-34.361997,18.971145,"LINEFISHING","10","08","2013"
"GALEORHINUS GALEUS","Soupfin shark","13 AUGUST 2013","DISSECTED",154,NA,"M","NEW HARBOUR","Hermanus",-34.434375,19.231372,"LINEFISHING","13","08","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 APRIL 2013","DISSECTED",178,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 APRIL 2013","DISSECTED",250,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 APRIL 2013","DISSECTED",233,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","10 APRIL 2013","DISSECTED",219,NA,"F","STONY POINT","Betty's Bay",-34.373282,18.898694,"LINEFISHING","10","04","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","27 FEBRUARY 2013","D136044",59,NA,"M","WALKER BAY","Hermanus",-34.422851,19.262768,"LINEFISHING","27","02","2013"
"MUSTELUS MUSTELUS","Smooth houndshark","19 JULY 2013","finclip only",68.5,NA,"M","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","19","07","2013"
"CALLORHINCHUS CAPENSIS","St Joseph's shark","19 JULY 2013","A2912",73.5,NA,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","19","07","2013"
"MUSTELUS MUSTELUS","Smooth houndshark","14 SEPTEMBER 2013","A5941",90,NA,"M","DIE MOND, GORDONS BAY","False Bay",-34.158896,18.850428,"LINEFISHING","14","09","2013"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","09 SEPTEMBER 2013","finclip only",89,70,"M","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","09 SEPTEMBER 2013","finclip only",58,NA,"NO SEX","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","09 SEPTEMBER 2013","finclip only",68.5,NA,"M","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","09 SEPTEMBER 2013","finclip only",59.5,NA,"F","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"MUSTELUS MUSTELUS","Smooth houndshark","14 SEPTEMBER 2013","A5751",69,NA,"F","DIE MOND, GORDONS BAY","False Bay",-34.158896,18.850428,"LINEFISHING","14","09","2013"
"MUSTELUS MUSTELUS","Smooth houndshark","14 SEPTEMBER 2013","A5752",60,NA,"F","DIE MOND, GORDONS BAY","False Bay",-34.158896,18.850428,"LINEFISHING","14","09","2013"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","09 SEPTEMBER 2013","finclip only",112,86,"F","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","21 FEBRUARY 2014","D136028",52,NA,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","21","02","2014"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","09 SEPTEMBER 2013","finclip only",100,80,"F","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"HAPLOBLEPHARUS EDWARDSII","Puffadder shyshark","09 SEPTEMBER 2013","finclip only",62,NA,"NO SEX","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","09 SEPTEMBER 2013","finclip only",96.4,74.2,"F","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"TRIAKIS MEGALOPTERUS","Spotted gullyshark","09 SEPTEMBER 2013","finclip only",148,120,"M","DE HOOP MPA (LEKKERWATER)","St Sebastion Bay",-34.4533,20.634603,"LINEFISHING","09","09","2013"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","07 DECEMBER 2011","A3508",69.2,NA,"F","OPPOSITE ST. CROIX ISLAND","Algoa Bay",-33.799881,25.757088,"LINEFISHING","07","12","2011"
"ACROTERIOBATUS ANNULATUS","Lesser sandshark","07 DECEMBER 2011","A3505",97,NA,"F","OPPOSITE ST. CROIX ISLAND","Algoa Bay",-33.799881,25.757088,"LINEFISHING","07","12","2011"
