"SPECIES_SCIENTIFIC","SPECIES_COMMON","DATE OF COLLECTION (DD/MO/YYYY)","TAG .","TL(CM)","PCL (CM)","SEX (M/F)","LOCATION_SPECIFIC","GENERAL GEOGRAPHIC LOCATION","LATITUDE","LONGITUDE","DATATYPE","DAY","MONTH","YEAR"
"PORODERMA PANTHERINUM","Leopard catshark","25 MARCH 2014","A4806",63.5,51,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","25 MARCH 2014","A4803",81,64,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","03","2014"
"PORODERMA AFRICANUM","Pyjama catshark","29 MAY 2014","A146403",95,76,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","29","05","2014"
"HAPLOBLEPHARUS FUSCUS","Brown shyshark","19 MAY 2014","D136036",59,47,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","19","05","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","25 APRIL 2014","D162626",41.5,33.5,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","25 APRIL 2014","A3695",61.5,49.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","04","2014"
"HAPLOBLEPHARUS FUSCUS","Brown shyshark","25 APRIL 2014","D162628",57.5,46,"F","OLD HARBOUR","Walekr Bay",-34.421092,19.250323,"LINEFISHING","25","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","25 APRIL 2014","D162627",49,40.5,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","04","2014"
"PORODERMA PANTHERINUM","Leopard catshark","25 APRIL 2014","D162629",52,41.5,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","25","04","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","A5938",56.5,38,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"PORODERMA PANTHERINUM","Leopard catshark","04 JULY 2014","D162630",46.6,34,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","D162639",56.8,47,"F","OLD HARBOUR","Walekr Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","D162635",55.2,39,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","A4864",60,49,"M","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","D162645",52.8,43,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"HAPLOBLEPHARUS PICTUS","Dark shyshark","04 JULY 2014","D162641",54.8,43.5,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","04","07","2014"
"PORODERMA AFRICANUM","Pyjama catshark","06 JULY 2014","A4861",93,74.5,"F","OLD HARBOUR","Walker Bay",-34.421092,19.250323,"LINEFISHING","06","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4976",NA,105,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4951",NA,122,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4968",NA,129,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4967",NA,110,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"GALEORHINUS GALEUS","Soupfin Shark","12 JULY 2014","A4969",153.2,124,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4953",NA,113,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4958",NA,101,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A5000",NA,133,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4975",NA,127.8,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4999",NA,107,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"PORODERMA AFRICANUM","Pyjama Catshark","12 JULY 2014","A4996",93.5,76,"M","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12JULY 2014","A4983",NA,125,"M","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill Cowshark","12 JULY 2014","A4966",NA,138,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"UNKNOWN","Unidentified stomach contents","12 JULY 2014","NA",NA,NA,NA,"STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
"NOTORHYNCHUS CEPEDIANUS","Sevengill cowshark","12 JULY 2014","NA",NA,130,"F","STRAND","False Bay",-34.116257,18.820466,"LINEFISHING","12","07","2014"
