"OCCURRENCEID","EVENTDATE","LOCALITY","LATITUDE","LONGITUDE","SAMPLINGPROTOCOL...6","SAMPLINGEFFORT...7","SAMPLESIZEVALUE","SAMPLESIZEUNIT","DATATYPE","SAMPLINGEFFORT...11","INATID","WORMSID","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIFICEPITHET","INFRASPECIFICEPITHET","VERNACULARNAME","TAXONREMARKS","ORGANISMQUANTITY","ORGANISMQUANTITYTYPE","SEX","LIFESTAGE","RECORDEDBY","OCCURRENCEREMARKS","WATERTEMPERATURE","WATERTEMPERATUREUNIT","WATERTEMPERATUREREMARKS","WATERVISIBILITY","WATERVISIBILITYUNIT","DIVETYPE","CLOUD","CLOUDUNIT","DEPTH","DEPTHUNIT","SWELL","SWELLUNIT","FIELDOFVIEW","FIELDOFVIEWUNIT","SURFACELUX","SURFACELUXUNIT","WINDDIRECTION","WINDSPEED","WINDSPEEDUNIT","PROFILE","PROFILEUNIT","BAITTYPE","TIMEOFFIRSTSIGHTING","TIMEOFMAXN","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","OWNER"
154,2018-03-24 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",80,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","PICTUS",NA,"DARK SHYSHARK",NA,"S","SFMA count",NA,NA,"Thomas Child",NA,"17.0","C",NA,10,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","03","2018","HAPLOBLEPHARUS PICTUS","CAPERADD"
159,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"M","SFMA count",NA,NA,"Leah Korbas",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
160,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Leah Korbas",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","PORODERMA AFRICANUM","CAPERADD"
162,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"M","SFMA count",NA,NA,"Robin Huizinga",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
163,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Robin Huizinga",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","PORODERMA AFRICANUM","CAPERADD"
165,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"M","SFMA count",NA,NA,"Emma Harvey",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
166,2018-04-13 00:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",40,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Emma Harvey",NA,"10.0","C","is this right?",6,"m","scuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","04","2018","PORODERMA AFRICANUM","CAPERADD"
168,2018-04-22 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",50,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"S","SFMA count",NA,NA,"Agnieszka Pokrywka",NA,"12.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","04","2018","PORODERMA AFRICANUM","CAPERADD"
183,2018-04-22 00:00:00,"Windmill Beach","-34.20100","18.45667",NA,NA,NA,NA,"UVC",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","PORODERMA","AFRICANUM",NA,"PYJAMA SHARK",NA,"F","SFMA count",NA,NA,"Julian Petrasch",NA,"12.0","C",NA,4,"m","snorkel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","04","2018","PORODERMA AFRICANUM","CAPERADD"
901,2018-12-01 12:00:00,"Shark Alley","-34.23683","18.47667",NA,NA,NA,NA,"UVC",75,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","HAPLOBLEPHARUS","EDWARDSII",NA,"PUFFADDER SHYSHARK",NA,"S","SFMA count",NA,NA,"Jason Buck",NA,"16","C",NA,8,"m","freedive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01","12","2018","HAPLOBLEPHARUS EDWARDSII","CAPERADD"
