"STATION...1","DATE","STATION...3","SPECIES_SCIENTIFIC","SEX","WEIGHT (G)","LENGTH (CM)","LATITUDE","LONGITUDE","DAY","MONTH","YEAR","DATATYPE","OWNER"
"D00197",2007-03-14,"D00197","Holohalaelurus regani","Female",17,20,-31.4135,17.4571666666667,"14","03","2007","TRAWL","DFFE"
"D00197",2007-03-14,"D00197","Holohalaelurus regani","Female",33,23,-31.4135,17.4571666666667,"14","03","2007","TRAWL","DFFE"
"D00197",2007-03-14,"D00197","Holohalaelurus regani","Female",14,19,-31.4135,17.4571666666667,"14","03","2007","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",1634,73,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Female",563,50,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Female",684,53,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",563,49,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",2044,77,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",1784,73,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",1724,70,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",1035,62,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",307,39,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",483,46,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Squalus megalops","Male",428,45,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Mustelus palumbes","Male",1997,81,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Mustelus palumbes","Female",1970,83,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Mustelus palumbes","Male",805,62,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Mustelus palumbes","Male",319,43,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Holohalaelurus regani","Female",208,42,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Holohalaelurus regani","Female",269,44,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Holohalaelurus regani","Female",342,48,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Holohalaelurus regani","Male",704,65,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00198",2008-03-14,"D00198","Holohalaelurus regani","Female",197,39,-31.1220601851852,16.6578333333333,"14","03","2008","TRAWL","DFFE"
"D00201",2008-03-14,"D00201","Holohalaelurus regani","Female",85,32,-30.7356666666667,16.9035,"14","03","2008","TRAWL","DFFE"
"D00201",2008-03-14,"D00201","Holohalaelurus regani","Male",105,35,-30.7356666666667,16.9035,"14","03","2008","TRAWL","DFFE"
"D00203",2009-03-14,"D00203","Holohalaelurus regani","Male",695,64,-31.4048333333333,17.2641666666667,"14","03","2009","TRAWL","DFFE"
"D00203",2009-03-14,"D00203","Holohalaelurus regani","Female",276,45,-31.4048333333333,17.2641666666667,"14","03","2009","TRAWL","DFFE"
"D00203",2009-03-14,"D00203","Holohalaelurus regani","Male",660,62,-31.4048333333333,17.2641666666667,"14","03","2009","TRAWL","DFFE"
