"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"UM_DE HOOP_84","Elasmobranchii","Scyliorhinidae","Poroderma","africanum","Poroderma africanum",2,"De Hoop","UM","Neil Hammerschlag","De Hoop",2019-03-30,"Martha's Point","De Hoop MPA",-34.43549167,20.8725,NA,NA,"BRUVS","UM","30","03","2019"
"UM_DE HOOP_87","Elasmobranchii","Scyliorhinidae","Poroderma","africanum","Poroderma africanum",1,"De Hoop","UM","Neil Hammerschlag","De Hoop",2019-03-30,"Martha's Point","De Hoop MPA",-34.567169,20.4267,NA,NA,"BRUVS","UM","30","03","2019"
"UM_DE HOOP_9","Elasmobranchii","Scyliorhinidae","Poroderma","africanum","Poroderma africanum",2,"De Hoop","UM","Neil Hammerschlag","De Hoop",2019-01-23,"Driegaaitjies","Exploited",-34.462672,20.868986,NA,NA,"BRUVS","UM","23","01","2019"
"UM_DE HOOP_93","Elasmobranchii","Scyliorhinidae","Poroderma","africanum","Poroderma africanum",1,"De Hoop","UM","Neil Hammerschlag","De Hoop",2019-03-04,"Cape Infanta","De Hoop MPA",-34.583742,20.422739,NA,NA,"BRUVS","UM","04","03","2019"
"UM_DE HOOP_99","Elasmobranchii","Scyliorhinidae","Poroderma","africanum","Poroderma africanum",2,"De Hoop","UM","Neil Hammerschlag","De Hoop",2019-04-08,"Infanta Lighthouse","De Hoop MPA",-34.458242,20.735356,NA,NA,"BRUVS","UM","08","04","2019"
"13-02_TNP_016","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-07,"Rheeders Reef","TNP MPA",-34.02705,23.91812,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","02","2013"
"13-02_TNP_047","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-11,"Middle Bank Reef","TNP MPA",-34.04406,23.88082,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","02","2013"
"13-02_TNP_063","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-12,"Nature's Valley Shallow","Exploited",-34.00026,23.55206,NA,NA,"BRUVS","NRF-SAIAB MARIP","12","02","2013"
"20-11_OA_029","Elasmobranchii","Dasyatidae","Pateobatis","jenkinsii","Pateobatis jenkinsii",1,"iSimangaliso_OA","NRF-SAIAB MARIP","Anthony Bernard","20-11_OA",2020-11-16,"Kosi Bay","IWP_Maputaland Sanctuary Zone",-26.89914,32.92778,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","11","2020"
"13-02_TNP_104","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-24,"Nature's Valley Deep","Exploited",-34.00144,23.56995,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","02","2013"
"13-02_TNP_115","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-24,"Nature's Valley Deep","Exploited",-34.00223,23.57258,NA,NA,"BRUVS","NRF-SAIAB MARIP","24","02","2013"
"13-02_TNP_117","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-25,"Middle Bank Reef","TNP MPA",-34.04532,23.88442,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","02","2013"
"13-02_TNP_119","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-25,"Middle Bank Reef","TNP MPA",-34.0439,23.87675,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","02","2013"
"14-02_TNP_046","Elasmobranchii","Scyliorhinidae","Poroderma","pantherinum","Poroderma pantherinum",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","14-02_TNP",2014-02-23,"Middle Bank Reef","TNP MPA",-34.04558,23.86839,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","02","2014"
