"SAMPLECODE","Class","Family","Genus","Species","SPECIES_SCIENTIFIC","MaxN","Project name","Institute","Responsible person","Fieldtrip","Date","Location","Management","LATITUDE","LONGITUDE","count","duplicated","DATATYPE","OWNER","DAY","MONTH","YEAR"
"20-01_UPWELLING_028","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"Upwelling","NRF-SAIAB MARIP","Anthony Bernard","20-01_Upwelling",2020-01-16,"Seal Point","Exploited",-34.21341,24.82204,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","01","2020"
"20-02_TNP_004","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-15,"Rheeders reef","TNP MPA",-34.02793,23.91142,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","02","2020"
"20-02_TNP_022","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-19,"Middle bank","TNP MPA",-34.03041,23.9453,NA,NA,"BRUVS","NRF-SAIAB MARIP","19","02","2020"
"15-06_AB_05","Elasmobranchii","Squalidae","Squalus","sp.","Squalus sp.",3,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-06_AB",2015-06-12,"Riy Banks","Exploited",-34.02147,25.87751,NA,NA,"BRUVS","NRF-SAIAB MARIP","12","06","2015"
"20-02_TNP_048","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-23,"Middle bank","TNP MPA",-34.0458,23.86874,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","02","2020"
"20-02_TNP_059","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-23,"Rheeders reef","TNP MPA",-34.02991,23.9273,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","02","2020"
"20-10_UPWELLING_003","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"Upwelling","NRF-SAIAB MARIP","Anthony Bernard","20-10_Upwelling",2020-10-07,"Thyspunt","Exploited",-34.2007899843156,24.7244799882173,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","10","2020"
"15-06_AB_06","Elasmobranchii","Squalidae","Squalus","sp.","Squalus sp.",6,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-06_AB",2015-06-12,"Riy Banks","Exploited",-34.02409,25.88907,NA,NA,"BRUVS","NRF-SAIAB MARIP","12","06","2015"
"20-10_UPWELLING_008","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"Upwelling","NRF-SAIAB MARIP","Anthony Bernard","20-10_Upwelling",2020-10-07,"Thyspunt","Exploited",-34.202529983595,24.7311799786984,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","10","2020"
"21-03_SCF-WC_046","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.3667,21.90121,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"21-03_SCF-WC_051","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.36217,21.90856,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"21-03_SCF-WC_059","Elasmobranchii","Scyliorhinidae","Haploblepharus","fuscus","Haploblepharus fuscus",2,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.34501,21.91558,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"13-02_TNP_014","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","13-02_TNP",2013-02-07,"Rheeders Reef","TNP MPA",-34.02432,23.91045,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","02","2013"
"15-02_GK_04","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"Goukamma","NRF-SAIAB MARIP","Anthony Bernard","15-02_GK",2015-02-26,"Goukamma","Goukamma MPA",-34.0878833333333,22.9457833333333,NA,NA,"BRUVS","NRF-SAIAB MARIP","26","02","2015"
"16-04_AB_26","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-16,"Riy Banks","Exploited",-33.98689,25.86446,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","05","2016"
"15-03_DH_009","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-20,"Agulhas","Exploited",-34.8445,19.99896,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","03","2015"
"15-03_DH_012","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-20,"Agulhas","Exploited",-34.85338,20.00146,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","03","2015"
"15-03_DH_013","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-20,"Agulhas","Exploited",-34.84519,20.00667,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","03","2015"
"16-03_AMA_79","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-25,"Christmas Rock","Amathole MPA_Gxulu",-33.1839901115745,27.6684774644672,NA,NA,"BRUVS","NRF-SAIAB MARIP","25","03","2016"
"16-04_AB_37","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-33.98746,25.88378,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"21-03_SCF-WC_051","Elasmobranchii","Rajidae","Raja","straeleni","Raja straeleni",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.36217,21.90856,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"15-03_DH_017","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-20,"Agulhas","Exploited",-34.83991,20.01622,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","03","2015"
"15-03_DH_021","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-20,"Agulhas","Exploited",-34.83685,20.02303,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","03","2015"
"15-03_DH_032","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-21,"5 Mile Bank","Exploited",-34.84055,20.12635,NA,NA,"BRUVS","NRF-SAIAB MARIP","21","03","2015"
"15-06_AB_51","Elasmobranchii","Carchariidae","Carcharias","taurus","Carcharias taurus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-06_AB",2015-06-22,"Riy Banks","Exploited",-33.9862,25.87478,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","06","2015"
"16-04_AB_38","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-33.98697,25.88057,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"15-03_DH_036","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"De Hoop","NRF-SAIAB MARIP","Anthony Bernard","15-03_DH",2015-03-21,"5 Mile Bank","Exploited",-34.83606,20.13025,NA,NA,"BRUVS","NRF-SAIAB MARIP","21","03","2015"
"19-06_TNP_002","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.03069,23.94955,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"16-03_AMA_91","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.203923869878,27.6891474053263,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"16-03_AMA_92","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-03-31,"Christmas Rock","Amathole MPA_Gxulu",-33.2115077320486,27.688118610531,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","03","2016"
"19-06_TNP_004","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.03741,23.95483,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"17-04_NSC-S_069","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"Natal South Coast","NRF-SAIAB MARIP","Anthony Bernard","17-04_NSC-S",2017-04-13,"Protea Bank","Exploited",-30.77038,30.42112,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","04","2017"
"19-06_TNP_008","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.03248,23.95748,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"19-06_TNP_011","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.02831,23.93859,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"16-04_AB_02","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-04-22,"Cape Recife","Exploited",-34.06567,25.70323,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","04","2016"
"19-06_TNP_013","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.02622,23.92771,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"19-06_TNP_017","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.03748,23.95744,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"19-06_TNP_018","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.03078,23.94962,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"16-04_AB_03","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-04-22,"Cape Recife","Exploited",-34.05225,25.72009,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","04","2016"
"21-03_SCF-WC_074","Elasmobranchii","Rajidae","Raja","straeleni","Raja straeleni",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-16,"Robburg","Robburg MPA",-34.10243,23.42508,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","03","2021"
"19-06_TNP_020","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",3,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.03753,23.9548,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"16-11_ISI_112","Elasmobranchii","Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos",2,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","16-11_ISI",2016-11-15,"Leadman's","IWP_St Lucia Sanctuary Zone",-27.8191833333333,32.6249,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","11","2016"
"19-06_TNP_023","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.03292,23.9575,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"19-06_TNP_029","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",3,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.0264,23.92771,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"21-03_SCF-WC_079","Elasmobranchii","Rajidae","Raja","straeleni","Raja straeleni",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-17,"Robburg","Robburg MPA",-34.11074,23.37709,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2021"
"19-06_TNP_030","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.0302,23.92811,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"16-04_AB_05","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",2,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-04-30,"Cape Recife","Exploited",-34.04068,25.71986,NA,NA,"BRUVS","NRF-SAIAB MARIP","30","04","2016"
"21-05_WILD_078","Elasmobranchii","Rajidae","Raja","straeleni","Raja straeleni",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-05_Wild",2021-05-23,"Hluleka","Hluleka MPA",-31.89884,29.37186,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2021"
"19-06_TNP_032","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-01,"Rheeders reef","TNP MPA",-34.02813,23.91456,NA,NA,"BRUVS","NRF-SAIAB MARIP","01","06","2019"
"19-06_TNP_071","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-06-04,"Rheeders reef","TNP MPA",-34.03005,23.92787,NA,NA,"BRUVS","NRF-SAIAB MARIP","04","06","2019"
"16-04_AB_06","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-04-30,"Cape Recife","Exploited",-34.04372,25.72537,NA,NA,"BRUVS","NRF-SAIAB MARIP","30","04","2016"
"15-10_AB_59","Elasmobranchii","Gymnuridae","Gymnura","natalensis","Gymnura natalensis",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-10_AB",2015-10-19,"Cape Recife","Exploited",-34.0787333333333,25.7248,NA,NA,"BRUVS","NRF-SAIAB MARIP","19","10","2015"
"16-04_AB_10","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-04-30,"Cape Recife","Exploited",-34.04353,25.71674,NA,NA,"BRUVS","NRF-SAIAB MARIP","30","04","2016"
"16-04_AB_25","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-16,"Riy Banks","Exploited",-33.98415,25.87273,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","05","2016"
"20-02_TNP_001","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-15,"Rheeders reef","TNP MPA",-34.02819,23.92249,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","02","2020"
"20-02_TNP_003","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-15,"Rheeders reef","TNP MPA",-34.02573,23.91146,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","02","2020"
"20-02_TNP_023","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-19,"Middle bank","TNP MPA",-34.03752,23.95474,NA,NA,"BRUVS","NRF-SAIAB MARIP","19","02","2020"
"20-02_TNP_035","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-21,"Middle bank","TNP MPA",-34.04579,23.87939,NA,NA,"BRUVS","NRF-SAIAB MARIP","21","02","2020"
"20-02_TNP_042","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-22,"Rheeders reef","TNP MPA",-34.0323,23.9525,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","02","2020"
"20-02_TNP_056","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","20-02_TNP",2020-02-23,"Rheeders reef","TNP MPA",-34.0329,23.93552,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","02","2020"
"20-10_UPWELLING_003","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"Upwelling","NRF-SAIAB MARIP","Anthony Bernard","20-10_Upwelling",2020-10-07,"Thyspunt","Exploited",-34.2007899843156,24.7244799882173,NA,NA,"BRUVS","NRF-SAIAB MARIP","07","10","2020"
"21-03_SCF-WC_005","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-10,"Glentana","Exploited",-34.06204,22.31263,NA,NA,"BRUVS","NRF-SAIAB MARIP","10","03","2021"
"21-03_SCF-WC_018","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-11,"Glentana","Exploited",-34.06657,22.32719,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","03","2021"
"21-03_SCF-WC_019","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-11,"Glentana","Exploited",-34.0672,22.33535,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","03","2021"
"16-04_AB_29","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-16,"Riy Banks","Exploited",-34.01152,25.85973,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","05","2016"
"21-03_SCF-WC_020","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-11,"Glentana","Exploited",-34.06694,22.34599,NA,NA,"BRUVS","NRF-SAIAB MARIP","11","03","2021"
"21-03_SCF-WC_045","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.35798,21.88692,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"21-03_SCF-WC_046","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-13,"Gouritz","Exploited",-34.3667,21.90121,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","03","2021"
"21-03_SCF-WC_082","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-17,"Robburg","Robburg MPA",-34.11046,23.3857,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2021"
"21-03_SCF-WC_087","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-17,"Robburg","Robburg MPA",-34.10917,23.39378,NA,NA,"BRUVS","NRF-SAIAB MARIP","17","03","2021"
"21-03_SCF-WC_107","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-18,"Kranshoek","Exploited",-34.10172,23.32124,NA,NA,"BRUVS","NRF-SAIAB MARIP","18","03","2021"
"21-03_SCF-WC_117","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"SCF","NRF-SAIAB MARIP","Anthony Bernard","21-03_SCF-WC",2021-03-19,"Keurbooms (village)","Exploited",-34.0145,23.47007,NA,NA,"BRUVS","NRF-SAIAB MARIP","19","03","2021"
"16-04_AB_31","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-16,"Riy Banks","Exploited",-34.01449,25.86205,NA,NA,"BRUVS","NRF-SAIAB MARIP","16","05","2016"
"CAPE NATURE_STILBAAI__Z10","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",1,"Stilbaai","Cape Nature","Alexis Olds","Stilbaai",2014-12-11,"Stilbaai","Not recorded",-34.39241,21.5007,NA,NA,"BRUVS","Cape Nature","11","12","2014"
"16-04_AB_34","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-34.00078,25.85089,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"19-06_TNP_004","Elasmobranchii","Dasyatidae","Bathytoshia","brevicaudata","Bathytoshia brevicaudata",1,"TNP LTM","NRF-SAIAB MARIP","Anthony Bernard","19-06_TNP",2019-05-31,"Rheeders reef","TNP MPA",-34.03741,23.95483,NA,NA,"BRUVS","NRF-SAIAB MARIP","31","05","2019"
"14-03_AB_01","Elasmobranchii","Myliobatidae","Myliobatis","aquila","Myliobatis aquila",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","14-03_Algoa Bay",2014-03-22,"Riy Banks","Exploited",-34.00329,25.86439,NA,NA,"BRUVS","NRF-SAIAB MARIP","22","03","2014"
"16-03_AMA_114","Elasmobranchii","Rhinobatidae","Acroteriobatus","annulatus","Acroteriobatus annulatus",1,"Amathole","NRF-SAIAB MARIP","Anthony Bernard","16-03_AMA",2016-04-08,"Gonubie adjacent","Exploited",-32.9554027039557,28.0618772283196,NA,NA,"BRUVS","NRF-SAIAB MARIP","08","04","2016"
"16-04_AB_35","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-34.00827,25.85612,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"15-04_AB_10","Elasmobranchii","Hexanchidae","Notorynchus","cepedianus","Notorynchus cepedianus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-04_AB",2015-04-13,"Cape Recife","Exploited",-34.0653,25.71958,NA,NA,"BRUVS","NRF-SAIAB MARIP","13","04","2015"
"16-04_AB_36","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-34.01936,25.86795,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"15-10_AB_74","Elasmobranchii","Carchariidae","Carcharias","taurus","Carcharias taurus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","15-10_AB",2015-10-20,"Cape Recife","Exploited",-34.0388833333333,25.7195833333333,NA,NA,"BRUVS","NRF-SAIAB MARIP","20","10","2015"
"OSGOOD_A18","Elasmobranchii","Scyliorhinidae","Haploblepharus","pictus","Haploblepharus pictus",2,"SASC_Overberg","SASC/Cape Nature","Guy Paulet","2016-7",2016-07-29,"Overberg","Not recorded",-34.4324,19.1275,NA,NA,"BRUVS","SASC/Cape Nature","29","07","2016"
"16-04_AB_38","Elasmobranchii","Triakidae","Mustelus","mustelus","Mustelus mustelus",1,"Algoa Bay LTM","NRF-SAIAB MARIP","Anthony Bernard","16-04_AB",2016-05-23,"Riy Banks","Exploited",-33.98697,25.88057,NA,NA,"BRUVS","NRF-SAIAB MARIP","23","05","2016"
"16-11_ISI_115","Elasmobranchii","Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos",3,"iSimangaliso","NRF-SAIAB MARIP","Anthony Bernard","16-11_ISI",2016-11-15,"Leadman's","IWP_St Lucia Sanctuary Zone",-27.8115666666667,32.6254166666667,NA,NA,"BRUVS","NRF-SAIAB MARIP","15","11","2016"
