"","DATE","BEACH","SPECIES_COMMON","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","DATATYPE","LATITUDE","LONGITUDE"
"46",2014-02-09,"CLOVELLY","WHITE SHARK","09","02","2014","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"47",2013-12-13,"CLOVELLY","WHITE SHARK","13","12","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"48",2013-03-21,"CLOVELLY","WHITE SHARK","21","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"49",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"50",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"51",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"52",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"53",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"54",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"55",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"56",2013-03-17,"CLOVELLY","WHITE SHARK","17","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"57",2013-03-16,"CLOVELLY","WHITE SHARK","16","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"58",2013-03-16,"CLOVELLY","WHITE SHARK","16","03","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"59",2013-01-09,"CLOVELLY","WHITE SHARK","09","01","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"60",2013-01-09,"CLOVELLY","WHITE SHARK","09","01","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"61",2013-01-03,"CLOVELLY","WHITE SHARK","03","01","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"62",2013-01-02,"CLOVELLY","WHITE SHARK","02","01","2013","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
"63",2012-12-28,"CLOVELLY","WHITE SHARK","28","12","2012","CARCHARODON CARCHARIAS","SURFACESIGHTING",-34.13356,18.441645
