"DATE","LOCATION","ZONE...3","ZONE...4","TIME IN","TIME OUT","TOTAL SURVEY TIME","SPOT TIME","LATITUDE","LONGITUDE","DATATYPE","SPECIES_COMMON","SPECIES_SCIENTIFIC","OTHER SPECIES OF NOTE","SEX","TAGGED","NOTES","PICTURE","VIDEO","ADDITIONALNOTES","SHARKLIFE","DATA ENTRY BY:","CREW MEMBERS","DAY","MONTH","YEAR","OWNER","SITENUMBER","MAXN","WAYPOINT","CURRENT (KM/H)","CURRENT DIRECTION","DEPTH","SST","BST","SWELL (M)","VISABILITY (M)","SUBSTRATE TYPE","DEPLOYMENT TIME","RETRIEVAL TIME","SOAK TIME","VIDEO FOLDER REFERENCE","BOAT WAYPOINT","BOTTOM TEMP","REEF NAME","VIDEO REFERENCE","...15","CLOUD COVER (%)"
"24.11.2020","LETTUCE","SDRZ","Deep","0.30694444444444441","0.3576388888888889",73,NA,27.494068,32.696877,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,"Shark_03.29_video 1",NA,NA,NA,NA,NA,24,11,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19.10.2020","MELLOW YELLOW","SDRZ","Shallow","0.33194444444444443","0.37986111111111115",69,"0.34652777777777777",-27.531616,32.686783,"BRUV","SILVERTIP REEF SHARK","CARCHARHINUS ALBIMARGINATUS",NA,"F",NA,"inspecting bait","Silvertip_GH020712_5.50",NA,"quite small (<1m)","0","Jess","Grant, Dennis, Max,Jess",19,10,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19.10.2020","MELLOW YELLOW","SDRZ","Shallow","0.33194444444444443","0.37986111111111115",69,"0.35347222222222219",-27.531616,32.686783,"BRUV","TIGER SHARK","GALEOCERDO CUVIER",NA,"U",NA,"inspecting bait","Tiger Shark_GH020712_15.24",NA,"Quite young","0","Jess","Grant, Dennis, Max,Jess",19,10,2020,"SHARKLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","SNAGGLETOOTH WEASEL SHARK","HEMIPRISTIS ELONGATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","SPOTTED RAGGED TOOTH","CARCHARIAS TAURUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","TIGER SHARK","GALEOCERDO CUVIER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","WHITE-SPOTTED WEDGEFISH","RHYNCHOBATUS DJIDDENSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","HUMANS WHALER SHARK","CARCHARHINUS HUMANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","JENKINS STINGRAY","PATEOBATIS JENKINSII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","GREY REEF SHARK","CARCHARHINUS AMBLYRHYNCHOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","WHITETIP REEF SHARK","TRIAENODON OBESUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","COMMON BLACKTIP","CARCHARHINUS LIMBATUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","BULL SHARK","CARCHARHINUS LEUCAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
"06.07.2021",NA,NA,NA,NA,NA,NA,NA,-27.921912,32.59982,"BRUV","RETICULATE WHIPRAY","HIMANTURA UARNAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2021,"SHARKLIFE","A05B01",0,"07","0.24","NE>SW",14.5,23.1,"22",1.8,15,"sand",1899-12-31 10:15:00,1899-12-31 12:23:00,1899-12-31 02:08:00,"A05B01_06.07.2021",NA,NA,NA,NA,NA,NA
