"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009041402,2009-04-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041403,2009-04-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041403,2010-06-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","06","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041501,2009-04-15,1,"CARCHARODON CARCHARIAS","WHITE SHARK","15","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041501,2009-04-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041501,2009-04-29,1,"CARCHARODON CARCHARIAS","WHITE SHARK","29","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041501,2009-05-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041501,2010-08-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","08","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009041701,2009-04-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-04-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","04","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-04,1,"CARCHARODON CARCHARIAS","WHITE SHARK","04","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-05,1,"CARCHARODON CARCHARIAS","WHITE SHARK","05","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-07,1,"CARCHARODON CARCHARIAS","WHITE SHARK","07","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-08,1,"CARCHARODON CARCHARIAS","WHITE SHARK","08","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-10,1,"CARCHARODON CARCHARIAS","WHITE SHARK","10","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-05-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-06-29,1,"CARCHARODON CARCHARIAS","WHITE SHARK","29","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2009-06-30,1,"CARCHARODON CARCHARIAS","WHITE SHARK","30","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2010-05-01,1,"CARCHARODON CARCHARIAS","WHITE SHARK","01","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2010-05-21,1,"CARCHARODON CARCHARIAS","WHITE SHARK","21","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009042201,2010-06-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","06","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
